times,subtide,subtide_parm,subtide_postmean,subtide25,subtide50,subtide75,D1_phase,D1_phase_parm,D1_phase_postmean,D2_phase,D2_phase_parm,D2_phase_postmean,D3_phase,D3_phase_parm,D3_phase_postmean,D4_phase,D4_phase_parm,D4_phase_postmean,D1_amp,D1_amp_parm,D1_amp_postmean,D1_amp_25,D1_amp_50,D1_amp_75,D2_amp,D2_amp_parm,D2_amp_postmean,D2_amp_25,D2_amp_50,D2_amp_75,D3_amp,D3_amp_parm,D3_amp_postmean,D3_amp_25,D3_amp_50,D3_amp_75,D4_amp,D4_amp_parm,D4_amp_postmean,D4_amp_25,D4_amp_50,D4_amp_75
-960.00,3.3756,3.2761,3.2684,3.1659,3.2612,3.3767,0.134505, 0.33340994, 4.1166e-01,0.201757,0.276383, 0.06490216,0.403514,0.171117, 0.23179982,0.403514,-0.2621419,-0.1484218,0.242340,0.185752,0.229254,0.141076,0.217519,0.300301,0.50486,0.55284,0.53277,0.46961,0.53540,0.59224,0.18933,0.22920,0.235276,0.174438,0.229254,0.298097,0.089818,0.114408,0.118871,0.088309,0.115028,0.147250
-959.75,3.3748,3.2780,3.2706,3.1722,3.2661,3.3752,0.134481, 0.33110792, 4.0850e-01,0.201721,0.275229, 0.06821411,0.403443,0.174417, 0.23463810,0.403443,-0.2504983,-0.1347277,0.242413,0.186385,0.228107,0.140934,0.216313,0.298741,0.50500,0.55234,0.53266,0.47083,0.53507,0.59081,0.18935,0.22852,0.234164,0.173850,0.228174,0.295704,0.089827,0.113146,0.117483,0.087184,0.114417,0.145286
-959.50,3.3740,3.2799,3.2727,3.1757,3.2705,3.3739,0.134457, 0.32881954, 4.0522e-01,0.201686,0.274073, 0.07149971,0.403372,0.177740, 0.23735572,0.403372,-0.2386214,-0.1220514,0.242484,0.187015,0.227007,0.141506,0.216263,0.296225,0.50513,0.55183,0.53255,0.47093,0.53499,0.59013,0.18937,0.22784,0.233076,0.173892,0.227004,0.293068,0.089837,0.111895,0.116138,0.086369,0.112797,0.143584
-959.25,3.3731,3.2818,3.2749,3.1814,3.2700,3.3731,0.134434, 0.32654434, 4.0184e-01,0.201651,0.272914, 0.07475439,0.403303,0.181083, 0.23996516,0.403303,-0.2265147,-0.1113943,0.242555,0.187643,0.225952,0.140465,0.215779,0.294053,0.50526,0.55130,0.53244,0.47080,0.53473,0.58842,0.18939,0.22716,0.232011,0.173214,0.226988,0.290570,0.089846,0.110656,0.114823,0.085304,0.111543,0.142095
-959.00,3.3723,3.2837,3.2770,3.1873,3.2719,3.3702,0.134411, 0.32428189, 3.9836e-01,0.201617,0.271753, 0.07797591,0.403234,0.184446, 0.24246732,0.403234,-0.2141828,-0.1001342,0.242625,0.188269,0.224949,0.140113,0.213834,0.292897,0.50539,0.55077,0.53234,0.47072,0.53384,0.58711,0.18941,0.22648,0.230968,0.173678,0.226979,0.288141,0.089855,0.109433,0.113540,0.083947,0.110040,0.140105
-958.75,3.3715,3.2855,3.2788,3.1912,3.2731,3.3691,0.134389, 0.32203181, 3.9479e-01,0.201583,0.270590, 0.08116329,0.403166,0.187826, 0.24486132,0.403166,-0.2016308,-0.0883128,0.242693,0.188893,0.223988,0.140615,0.213297,0.291730,0.50552,0.55022,0.53223,0.47128,0.53315,0.58521,0.18944,0.22580,0.229946,0.174382,0.226152,0.285729,0.089864,0.108226,0.112289,0.083527,0.109371,0.139239
-958.50,3.3708,3.2872,3.2805,3.1959,3.2751,3.3669,0.134367, 0.31979376, 3.9125e-01,0.201550,0.269426, 0.08431928,0.403100,0.191221, 0.24715783,0.403100,-0.1888647,-0.0760616,0.242761,0.189516,0.223067,0.141509,0.212723,0.290544,0.50565,0.54967,0.53212,0.47214,0.53356,0.58316,0.18946,0.22512,0.228945,0.175038,0.224702,0.283380,0.089872,0.107038,0.111071,0.083689,0.108290,0.137949
-958.25,3.3700,3.2888,3.2818,3.1989,3.2782,3.3658,0.134345, 0.31756743, 3.8808e-01,0.201517,0.268261, 0.08743846,0.403034,0.194631, 0.24941639,0.403034,-0.1758912,-0.0635384,0.242828,0.190137,0.222189,0.142068,0.211242,0.288708,0.50577,0.54911,0.53201,0.47269,0.53396,0.58269,0.18948,0.22444,0.227963,0.175622,0.223349,0.280976,0.089881,0.105870,0.109886,0.082940,0.107015,0.136370
-958.00,3.3692,3.2902,3.2833,3.2025,3.2846,3.3652,0.134323, 0.31535257, 3.8019e-01,0.201485,0.267095, 0.09052155,0.402969,0.198052, 0.25178050,0.402969,-0.1627178,-0.0508628,0.242894,0.190758,0.221360,0.141286,0.211838,0.286035,0.50590,0.54854,0.53190,0.47340,0.53422,0.58110,0.18949,0.22376,0.227001,0.176598,0.223341,0.278478,0.089889,0.104724,0.108735,0.081941,0.106163,0.134560
-957.75,3.3685,3.2915,3.2846,3.2040,3.2829,3.3667,0.134302, 0.31314893, 3.7352e-01,0.201453,0.265929, 0.09357030,0.402905,0.201483, 0.25437646,0.402905,-0.1493531,-0.0381810,0.242958,0.191377,0.220586,0.142401,0.212530,0.284660,0.50602,0.54797,0.53179,0.47468,0.53386,0.58068,0.18951,0.22308,0.226061,0.177110,0.222190,0.276406,0.089898,0.103600,0.107617,0.081745,0.104972,0.132686
