# output from an experiment using fixed rho and sigma2_epsilon over a grid with cross validation error 
m,n,rho,sigma2_zeta,cv_mse,filter_quality,sigma2_epsilon,sigma2_kappa_M1,sigma2_kappa_M2,sigma2_kappa_M3,sigma2_kappa_M4,sigma2_kappa_M5,sigma2_kappa_M6
2,4,0.991,4.6416e-08,0.128303,2628069,0.0022704,1.3539e-13,1.3416e-13,1.3312e-13,1.3239e-13,1.3274e-13,1.3292e-13
2,4,0.992,4.6416e-08,0.127725,2588231,0.0022675,1.3563e-13,1.3479e-13,1.3312e-13,1.3278e-13,1.3387e-13,1.3325e-13
2,4,0.993,4.6416e-08,0.130347,2558243,0.0022661,1.3607e-13,1.3670e-13,1.3428e-13,1.3366e-13,1.3359e-13,1.3401e-13
2,4,0.994,4.6416e-08,0.130929,2538891,0.0022624,1.3654e-13,1.3600e-13,1.3504e-13,1.3464e-13,1.3402e-13,1.3413e-13
2,4,0.995,4.6416e-08,0.129669,2531190,0.0022641,1.3714e-13,1.3640e-13,1.3563e-13,1.3520e-13,1.3479e-13,1.3481e-13
2,4,0.996,4.6416e-08,0.128148,2535821,0.0022570,1.3745e-13,1.3735e-13,1.3561e-13,1.3518e-13,1.3512e-13,1.3529e-13
2,4,0.991,1.0000e-07,0.112727,2627683,0.0022730,1.3517e-13,1.3453e-13,1.3373e-13,1.3330e-13,1.3253e-13,1.3286e-13
2,4,0.992,1.0000e-07,0.114034,2587985,0.0022703,1.3573e-13,1.3461e-13,1.3388e-13,1.3332e-13,1.3362e-13,1.3386e-13
2,4,0.993,1.0000e-07,0.114485,2558135,0.0022655,1.3598e-13,1.3530e-13,1.3378e-13,1.3396e-13,1.3430e-13,1.3407e-13
2,4,0.994,1.0000e-07,0.114908,2538807,0.0022657,1.3601e-13,1.3623e-13,1.3487e-13,1.3486e-13,1.3533e-13,1.3445e-13
2,4,0.995,1.0000e-07,0.114761,2531231,0.0022646,1.3696e-13,1.3579e-13,1.3485e-13,1.3450e-13,1.3486e-13,1.3494e-13
2,4,0.996,1.0000e-07,,,,,,,,,
2,4,0.991,2.1544e-07,0.098932,2628027,0.0022775,1.3541e-13,1.3404e-13,1.3338e-13,1.3235e-13,1.3317e-13,1.3318e-13
2,4,0.992,2.1544e-07,0.100220,2587993,0.0022757,1.3571e-13,1.3476e-13,1.3432e-13,1.3325e-13,1.3382e-13,1.3380e-13
2,4,0.993,2.1544e-07,0.101017,2558050,0.0022726,1.3667e-13,1.3486e-13,1.3418e-13,1.3403e-13,1.3450e-13,1.3448e-13
2,4,0.994,2.1544e-07,0.102347,2538855,0.0022709,1.3731e-13,1.3630e-13,1.3475e-13,1.3428e-13,1.3467e-13,1.3523e-13
2,4,0.995,2.1544e-07,0.100045,2531119,0.0022690,1.3714e-13,1.3602e-13,1.3507e-13,1.3496e-13,1.3531e-13,1.3535e-13
2,4,0.996,2.1544e-07,,,,,,,,,
2,4,0.991,4.6416e-07,0.084421,2627821,0.0022804,1.3676e-13,1.3395e-13,1.3372e-13,1.3274e-13,1.3293e-13,1.3361e-13
2,4,0.992,4.6416e-07,0.086467,2587716,0.0022750,1.3630e-13,1.3486e-13,1.3390e-13,1.3403e-13,1.3301e-13,1.3377e-13
2,4,0.993,4.6416e-07,0.085993,2558078,0.0022756,1.3693e-13,1.3549e-13,1.3446e-13,1.3384e-13,1.3382e-13,1.3468e-13
2,4,0.994,4.6416e-07,0.089002,2538887,0.0022741,1.3806e-13,1.3601e-13,1.3528e-13,1.3429e-13,1.3434e-13,1.3444e-13
2,4,0.995,4.6416e-07,0.087422,2531126,0.0022726,1.3817e-13,1.3601e-13,1.3609e-13,1.3481e-13,1.3470e-13,1.3531e-13
2,4,0.996,4.6416e-07,,,,,,,,,
